"","old_name","new_name2"
"54","EDXRF_dich_sn_mdl","dich.EDXRF.TF.tin_sn_mdl"
"55","EDXRF_dich_antimony_sb","dich.EDXRF.TF.antimony_sb"
"56","EDXRF_dich_sb_mdl","dich.EDXRF.TF.antimony_sb_mdl"
"57","EDXRF_dich_cesium_cs","dich.EDXRF.TF.cesium_cs"
"58","EDXRF_dich_cs_mdl","dich.EDXRF.TF.cerium_cs_mdl"
"59","EDXRF_dich_barium_ba","dich.EDXRF.TF.barium_ba"
"60","EDXRF_dich_ba_mdl","dich.EDXRF.TF.barium_ba_mdl"
"61","EDXRF_dich_lead_pb","dich.EDXRF.TF.lead_pb"
"62","EDXRF_dich_pb_mdl","dich.EDXRF.TF.lead_pb_mdl"
"63","EDXRF_dich_chlorine_cl","dich.EDXRF.TF.chlorine_cl"
"64","EDXRF_dich_cl_mdl","dich.EDXRF.TF.chlorine_cl_mdl"
"65","EDXRF_aluminum_al","na.EDXRF.TF.aluminum_al"
"66","EDXRF_al_mdl","na.EDXRF.TF.aluminum_al_mdl"
"67","EDXRF_silicon_si","na.EDXRF.TF.silicon_si"
"68","EDXRF_si_mdl","na.EDXRF.TF.silicon_si_mdl"
"69","EDXRF_sulphur_s","na.EDXRF.TF.sulphur_s"
"70","EDXRF_s_mdl","na.EDXRF.TF.sulphur_s_mdl"
"71","EDXRF_potassium_k","na.EDXRF.TF.potassium_k"
"72","EDXRF_k_mdl","na.EDXRF.TF.potassium_k_mdl"
"73","EDXRF_calcium_ca","na.EDXRF.TF.calcium_ca"
"74","EDXRF_ca_mdl","na.EDXRF.TF.calcium_ca_mdl"
"75","EDXRF_titanium_ti","na.EDXRF.TF.titanium_ti"
"76","EDXRF_ti_mdl","na.EDXRF.TF.titanium_ti_mdl"
"77","EDXRF_vanadium_v","na.EDXRF.TF.vanadium_v"
"78","EDXRF_v_mdl","na.EDXRF.TF.vanadium_v_mdl"
"79","EDXRF_chromium_cr","na.EDXRF.TF.chromium_cr"
"80","EDXRF_cr_mdl","na.EDXRF.TF.chromium_cr_mdl"
"81","EDXRF_manganese_mn","na.EDXRF.TF.manganese_mn"
"82","EDXRF_mn_mdl","na.EDXRF.TF.manganese_mn_mdl"
"83","EDXRF_iron_fe","na.EDXRF.TF.iron_fe"
"84","EDXRF_fe_mdl","na.EDXRF.TF.iron_fe_mdl"
"85","EDXRF_nickel_ni","na.EDXRF.TF.nickel_ni"
"86","EDXRF_ni_mdl","na.EDXRF.TF.nickel_ni_mdl"
"87","EDXRF_zinc_zn","na.EDXRF.TF.zinc_zn"
"88","EDXRF_zn_mdl","na.EDXRF.TF.zinc_zn_mdl"
"89","EDXRF_selenium_se","na.EDXRF.TF.selenium_se"
"90","EDXRF_se_mdl","na.EDXRF.TF.selenium_se_mdl"
"91","EDXRF_bromine_br","na.EDXRF.TF.bromine_br"
"92","EDXRF_br_mdl","na.EDXRF.TF.bromine_br_mdl"
"93","EDXRF_rubidium_rb","na.EDXRF.TF.rubidium_rb"
"94","EDXRF_rb_mdl","na.EDXRF.TF.rubidium_rb_mdl"
"95","EDXRF_strontium_sr","na.EDXRF.TF.strontium_sr"
"96","EDXRF_sr_mdl","na.EDXRF.TF.strontium_sr_mdl"
"97","EDXRF_cadmium_cd","na.EDXRF.TF.cadmium_cd"
"98","EDXRF_cd_mdl","na.EDXRF.TF.cadmium_cd_mdl"
"99","EDXRF_tin_sn","na.EDXRF.TF.tin_sn"
"100","EDXRF_sn_mdl","na.EDXRF.TF.tin_sn_mdl"
"101","EDXRF_antimony_sb","na.EDXRF.TF.antimony_sb"
"102","EDXRF_sb_mdl","na.EDXRF.TF.antimony_sb_mdl"
"103","EDXRF_cs_mdl","na.EDXRF.TF.cerium_cs_mdl"
"104","EDXRF_barium_ba","na.EDXRF.TF.barium_ba"
